State,natural_gas (million cubic feet)
United States e,"28,479,286"
Texas,"7,203,013"
Pennsylvania,"5,313,258"
Oklahoma,"2,468,312"
Louisiana,"1,743,259"
Colorado,"1,701,735"
Wyoming,"1,664,604"
Ohio,"1,439,905"
West Virginia,"1,375,108"
New Mexico,"1,251,013"
Arkansas,"823,223"
North Dakota,"531,889"
Utah,"364,665"
Alaska,"338,095"
Kansas,"243,459"
California,"205,024"
Alabama,"164,804"
Virginia,"120,241"
Michigan,"100,599"
Kentucky,"91,608"
Mississippi,"48,506"
Montana,"47,807"
New York,"13,446"
Indiana,"6,205"
Idaho,"4,637"
Tennessee,"3,603"
Illinois,"2,183"
Oregon,937
Florida,716
Nebraska,531
South Dakota,488
Arizona,47
Maryland,34
Nevada,3
Missouri,1
